date,time,station_name,fuel_amount_l,mileage_km,total_cost_eur,full_tank
2025-10-24,,OKKO,5.72,8147,354.58,TRUE
2025-09-22,,OKKO,7.83,7919,485.38,TRUE
2025-09-09,,OKKO,8.32,7600,515.76,TRUE
2025-08-18,,OKKO,8.80,7269,545.51,TRUE
2025-07-24,,OKKO,9.71,6922,601.92,TRUE
2025-07-08,,OKKO,9.02,6521,559.15,TRUE
2025-06-25,,OKKO,8.92,6159,386,TRUE
2025-06-04,,OKKO,8.70,5791,504.51,TRUE
2025-05-01,,OKKO,8.24,5425,477.84,TRUE
2025-04-17,,OKKO,8.05,5086,491,TRUE
2024-10-29,,OKKO,8.06,4764,467.4,TRUE
2024-10-15,,OKKO,8.31,4437,506.83,TRUE
2024-10-01,,OKKO,7.86,4092,321,TRUE
2024-09-19,,OKKO,7.48,3763,448.73,TRUE
2024-09-09,,OKKO,6.96,3429,417.53,TRUE
2024-08-28,,OKKO,7.09,3118,425.33,TRUE
2024-08-14,,OKKO,8.44,2799,506.32,TRUE
2024-07-30,,OKKO,6.79,2441,407.33,TRUE
2024-07-11,,OKKO,7.19,2111,332,TRUE
2024-06-30,,OKKO,7.45,1778,446.93,TRUE
2024-06-18,,OKKO,7.97,1443,478.12,TRUE
2024-06-03,,OKKO,7.63,1108,457.72,TRUE
2024-05-20,,OKKO,8.09,758,485.32,TRUE
2024-04-26,,OKKO,9.13,399,538.58,TRUE
2024-04-07,,OKKO,10.36,4,590.05,TRUE
