date,time,station_name,fuel_amount_l,mileage_km,total_cost_eur,full_tank
2026-02-24,,,44.52,165895,2893.35,TRUE
2026-02-08,,,40.00,165175,2919.6,TRUE
2026-01-27,,,40.00,164501,2839.6,TRUE
2026-01-14,,,27.03,163929,1568,TRUE
2026-01-01,,,44.85,163427,2780.25,TRUE
2025-12-15,,,52.93,162606,3023.42,TRUE
2025-11-22,,,52.00,161555,3223.48,TRUE
2025-11-02,,,40.56,160686,2433.19,TRUE
2025-10-15,,,52.87,159792,3118.8,TRUE
2025-09-15,,,41.46,158807,2238.43,TRUE
2025-08-10,,,39.01,158072,2106.15,TRUE
2025-08-06,,,53.04,157251,3128.83,TRUE
2025-07-27,,,43.47,156180,2346.95,TRUE
2025-06-15,,,48.29,155507,2752.05,TRUE
2025-06-08,,,47.08,154324,2400.61,TRUE
2025-06-01,,,41.40,153531,2143,TRUE
2025-05-10,,,31.97,152683,1634,TRUE
2025-04-20,,,41.89,151974,2177.86,TRUE
2025-03-31,,,40.02,151165,2320.76,TRUE
2025-03-08,,,36.91,150362,1734,TRUE
2025-02-17,,,29.74,149702,1605.66,TRUE
2025-02-10,,,30.52,149332,1800.37,TRUE
2025-01-20,,,31.08,148730,1833.41,TRUE
2025-01-04,,,43.17,148089,2082,TRUE
